$ kubectl get events -n streamingapp --sort-by=.lastTimestamp

LAST SEEN   TYPE      REASON                         OBJECT                                                MESSAGE
11m         Normal    Created                        pod/streamingapp-admin-b48b87bc-l92n5                 Created container: admin
11m         Normal    Pulled                         pod/streamingapp-admin-b48b87bc-l92n5                 Container image "400398151988.dkr.ecr.ap-south-1.amazonaws.com/streamingapp/admin-service:build-20260815075746" already present on machine
11m         Normal    Started                        pod/streamingapp-admin-b48b87bc-l92n5                 Started container admin
11m         Normal    Created                        pod/streamingapp-streaming-5b546d5667-k7wjh           Created container: streaming
11m         Normal    Pulled                         pod/streamingapp-streaming-5b546d5667-k7wjh           Container image "400398151988.dkr.ecr.ap-south-1.amazonaws.com/streamingapp/streaming-service:build-20260815075746" already present on machine
11m         Normal    Started                        pod/streamingapp-auth-68d7c9d98c-hx74w                Started container auth
11m         Normal    Created                        pod/streamingapp-auth-68d7c9d98c-hx74w                Created container: auth
11m         Normal    Pulled                         pod/streamingapp-auth-68d7c9d98c-hx74w                Container image "400398151988.dkr.ecr.ap-south-1.amazonaws.com/streamingapp/auth-service:build-20260815075746" already present on machine
11m         Normal    Started                        pod/streamingapp-streaming-5b546d5667-ckvtk           Started container streaming
11m         Normal    Pulled                         pod/streamingapp-streaming-5b546d5667-ckvtk           Container image "400398151988.dkr.ecr.ap-south-1.amazonaws.com/streamingapp/streaming-service:build-20260815075746" already present on machine
11m         Normal    Created                        pod/streamingapp-streaming-5b546d5667-ckvtk           Created container: streaming
11m         Normal    Started                        pod/streamingapp-auth-68d7c9d98c-n8ctd                Started container auth
11m         Normal    Pulled                         pod/streamingapp-auth-68d7c9d98c-n8ctd                Container image "400398151988.dkr.ecr.ap-south-1.amazonaws.com/streamingapp/auth-service:build-20260815075746" already present on machine
11m         Normal    Created                        pod/streamingapp-auth-68d7c9d98c-n8ctd                Created container: auth
10m         Warning   BackOff                        pod/streamingapp-chat-67864db5c4-v4d9x                Back-off restarting failed container chat in pod streamingapp-chat-67864db5c4-v4d9x_streamingapp(c65796a3-845f-4a73-9b89-3560d21b1622)
10m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/streamingapp-auth             failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
10m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/streamingapp-streaming        failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
10m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/streamingapp-streaming        invalid metrics (2 invalid out of 2), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
10m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/streamingapp-streaming        failed to get memory utilization: unable to get metrics for resource memory: no metrics returned from resource metrics API
10m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/streamingapp-auth             invalid metrics (2 invalid out of 2), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
